long,lat,tipo
-58.382063,-34.603623,Led
-58.380994,-34.60367,Led
-58.380994,-34.60367,Led
-58.379471,-34.603585,Led
-58.378076,-34.603496,Led
-58.376665,-34.603412,Led
-58.375216,-34.603323,Led
-58.373842,-34.603253,Led
-58.372468,-34.603144,Led
-58.378009,-34.60474,Led
-58.376761,-34.601118,Led
-58.380918,-34.604936,Led
-58.381857,-34.604982,Led
-58.382124,-34.605007,Led
-58.375114,-34.605725,Led
-58.375171,-34.604582,Led
-58.379201,-34.604995,Led
-58.377972,-34.605651,Led
-58.377947,-34.605907,Led
-58.377418,-34.605902,Led
-58.376484,-34.60648,Led
-58.376528,-34.605815,Led
-58.376475,-34.606944,Led
-58.375047,-34.606856,Led
-58.375029,-34.607197,Led
-58.375601,-34.606888,Led
-58.380852,-34.606078,Led
-58.381765,-34.606127,Led
-58.382088,-34.60613,Led
-58.380794,-34.607326,Led
-58.381671,-34.607355,Led
-58.382037,-34.607396,Led
-58.380727,-34.608436,Led
-58.381601,-34.608463,Led
-58.381981,-34.608496,Led
-58.379326,-34.606004,Led
-58.372181,-34.607909,Led
-58.373646,-34.607913,Led
-58.373461,-34.608493,Led
-58.373131,-34.608935,Led
-58.372134,-34.608917,Led
-58.370761,-34.608829,Led
-58.371262,-34.607841,Led
-58.374946,-34.608594,Led
-58.376375,-34.608693,Led
-58.377781,-34.608786,Led
-58.379195,-34.608889,Led
-58.380696,-34.60906,Led
-58.381568,-34.609117,Led
-58.38197,-34.609142,Led
-58.376409,-34.608122,Led
-58.380662,-34.609661,Led
-58.381553,-34.609739,Led
-58.381947,-34.609756,Led
-58.380596,-34.610802,Led
-58.381506,-34.610845,Led
-58.381865,-34.61083,Led
-58.380549,-34.611815,Led
-58.381256,-34.611871,Led
-58.381828,-34.611894,Led
-58.377696,-34.610537,Led
-58.379164,-34.609481,Led
-58.377749,-34.609385,Led
-58.379062,-34.611726,Led
-58.377643,-34.611646,Led
-58.379132,-34.610626,Led
-58.374895,-34.609186,Led
-58.376336,-34.609285,Led
-58.381752,-34.613112,Led
-58.381342,-34.613087,Led
-58.381342,-34.613087,Led
-58.380493,-34.613033,Led
-58.379025,-34.612931,Led
-58.377602,-34.612842,Led
-58.376152,-34.612746,Led
-58.374709,-34.612634,Led
-58.373311,-34.612534,Led
-58.371926,-34.612452,Led
-58.3762,-34.611557,Led
-58.37489,-34.61034,Led
-58.373377,-34.611387,Led
-58.371992,-34.611292,Led
-58.373253,-34.613706,Led
-58.376093,-34.613893,Led
-58.378984,-34.614088,Led
-58.380424,-34.614188,Led
-58.381338,-34.614297,Led
-58.381338,-34.614297,Led
-58.381723,-34.614296,Led
-58.374648,-34.613804,Led
-58.377554,-34.613984,Led
-58.404739,-34.598031,Led
-58.378534,-34.594102,Led
-58.377623,-34.594124,Led
-58.376963,-34.596266,Led
-58.375275,-34.596099,Led
-58.37633,-34.59615,Led
-58.37787,-34.59504,Led
-58.379903,-34.596501,Led
-58.37787,-34.59504,Led
-58.380362,-34.615224,Led
-58.381232,-34.615266,Led
-58.381232,-34.615266,Led
-58.381626,-34.615283,Led
-58.38032,-34.616428,Led
-58.381178,-34.61647,Led
