idSiniestro,NumVictimas,Anio,Mes,Dia,H,LugarHecho,TipoDeCalle,Calle,Cruce,Comuna,PosX,PosY,Participantes,Victima,Acusado,DiaSemana,Rol,Sexo,Edad,FechaFallecimiento,RangoHorario,Semestre
2016-0041,2,2016,Marzo,29,11.0,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,Con Cruce,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,Martes,PASAJERO_ACOMPAÑANTE,MASCULINO,42.0,2016-03-30 00:00:00,mañana,1
2016-0043,1,2016,Marzo,30,18.0,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",Con Cruce,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,Miércoles,PEATON,FEMENINO,56.0,2016-03-30 00:00:00,noche,1
2016-0044,1,2016,Marzo,31,19.0,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",Con Cruce,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,Jueves,CONDUCTOR,MASCULINO,24.0,2016-03-31 00:00:00,noche,1
2016-0047,1,2016,Abril,15,5.0,LIMA 1483,CALLE,LIMA,Sin Cruce,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,Viernes,PEATON,MASCULINO,41.0,2016-04-15 00:00:00,madrugada,1
2016-0048,1,2016,Abril,15,17.0,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,Con Cruce,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,Viernes,PEATON,FEMENINO,42.0,SD,tarde,1
2016-0050,1,2016,Abril,19,9.0,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO",Con Cruce,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,Martes,PEATON,MASCULINO,78.0,2016-04-19 00:00:00,mañana,1
2016-0051,1,2016,Abril,20,4.0,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",Con Cruce,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,Miércoles,CONDUCTOR,MASCULINO,36.0,2016-04-20 00:00:00,madrugada,1
2016-0053,1,2016,Abril,22,9.0,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,Con Cruce,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,Viernes,PEATON,MASCULINO,38.0,2016-04-22 00:00:00,mañana,1
2016-0054,1,2016,Abril,23,21.0,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Con Cruce,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,Sábado,CONDUCTOR,MASCULINO,30.0,2016-04-25 00:00:00,noche,1
2016-0055,1,2016,Abril,25,20.0,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",Con Cruce,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,Lunes,PEATON,MASCULINO,79.0,2016-04-28 00:00:00,noche,1
2016-0056,1,2016,Abril,26,4.0,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",Sin Cruce,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Martes,CONDUCTOR,MASCULINO,26.0,2016-04-26 00:00:00,madrugada,1
2016-0058,1,2016,Mayo,4,14.0,LIMA 1471,CALLE,LIMA,Sin Cruce,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,Miércoles,PEATON,FEMENINO,57.0,2016-05-08 00:00:00,tarde,1
2016-0059,1,2016,Mayo,8,16.0,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,Con Cruce,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,Domingo,PEATON,MASCULINO,37.0,2016-05-26 00:00:00,tarde,1
2016-0064,1,2016,Mayo,14,18.0,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",Con Cruce,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,Sábado,PEATON,MASCULINO,20.0,SD,noche,1
2016-0065,1,2016,Mayo,20,14.0,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,Con Cruce,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,Viernes,PEATON,MASCULINO,20.0,2016-05-20 00:00:00,tarde,1
2016-0067,1,2016,Mayo,21,17.0,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",Con Cruce,8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,Sábado,PASAJERO_ACOMPAÑANTE,FEMENINO,30.0,SD,tarde,1
2016-0068,1,2016,Mayo,22,22.0,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Con Cruce,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,Domingo,CONDUCTOR,MASCULINO,58.0,SD,noche,1
2016-0069,1,2016,Mayo,23,3.0,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,Con Cruce,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,Lunes,CONDUCTOR,MASCULINO,30.0,2016-05-23 00:00:00,madrugada,1
2016-0073,1,2016,Junio,11,15.0,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",Sin Cruce,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,Sábado,CONDUCTOR,MASCULINO,23.0,SD,tarde,1
2016-0074,1,2016,Junio,12,6.0,AV GRAL PAZ Y RODOLFO SCAPINO,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,Domingo,CONDUCTOR,MASCULINO,60.0,SD,mañana,1
2016-0075,1,2016,Junio,12,23.0,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Con Cruce,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,Domingo,PEATON,MASCULINO,42.0,2016-06-12 00:00:00,noche,1
2016-0076,1,2016,Junio,13,16.0,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,Con Cruce,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,Lunes,PEATON,FEMENINO,53.0,2016-06-13 00:00:00,tarde,1
2016-0077,1,2016,Junio,13,21.0,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",Con Cruce,1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,Lunes,PEATON,FEMENINO,42.0,SD,noche,1
2016-0078,1,2016,Junio,13,23.0,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,Con Cruce,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,Lunes,CONDUCTOR,MASCULINO,30.0,SD,noche,1
2016-0079,1,2016,Junio,16,17.0,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,Con Cruce,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,Jueves,CONDUCTOR,FEMENINO,51.0,SD,tarde,1
2016-0081,1,2016,Junio,22,7.0,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",Con Cruce,12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,Miércoles,CONDUCTOR,MASCULINO,40.0,SD,mañana,1
2016-0082,1,2016,Junio,27,18.0,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,Sin Cruce,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,Lunes,PEATON,MASCULINO,87.0,2016-07-05 00:00:00,noche,1
2016-0083,1,2016,Junio,28,20.0,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con Cruce,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,Martes,PEATON,FEMENINO,76.0,2016-06-29 00:00:00,noche,1
2016-0084,1,2016,Junio,29,22.0,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",Con Cruce,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,Miércoles,PEATON,MASCULINO,57.0,2016-07-08 00:00:00,noche,1
2016-0086,1,2016,Junio,30,16.0,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,Con Cruce,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,Jueves,PEATON,MASCULINO,75.0,2016-07-01 00:00:00,tarde,1
